25001340,14,0,0
4500360,406,10,4
4200780,97,2,0
29502480,12,0,1
11400300,355,18,9
3801240,139,6,1
100009560,4,0,0
2403060,20,2,0
14701260,9381,325,115
3701400,3604,84,19
9700260,39,1,1
13103700,8,0,0
32900160,44,0,0
23300280,10,0,0
7300200,22,0,0
28720800,270,16,3
26004960,24,0,0
100004460,61,0,0
100017000,2,0,0
24600360,2,0,0
13902360,5,0,0
26022660,11,1,0
2800020,1181,50,15
26027460,6,0,0
1004400,119,3,0
16800480,40,0,0
44900100,64,4,0
43300140,9,0,0
8902560,4,0,0
8500380,90,1,0
1306500,205,6,0
27900000,237,0,0
10503180,6,1,0
27201660,29,0,0
11700480,3,0,0
26600760,253,2,1
21402360,68,0,0
100020180,1,0,0
25505460,2,0,0
10502940,14,0,0
100027800,9,0,0
19001160,1,0,0
12706800,10,0,0
100016580,20,0,0
100000740,51,0,0
21409680,39,1,0
27600240,12,0,0
28707240,9,0,0
44400000,163,1,0
28721040,43,2,0
34500000,69,1,0
15300240,30,0,0
26002620,6,0,0
19001520,2,0,0
100022040,8,0,0
38400120,34,0,0
100017060,1,0,0
21400980,4,0,0
12701400,10384,643,185
15901260,55,0,0
52000080,1041,4,0
10900380,109,0,0
17100240,19,0,0
26500380,131,0,0
45601980,2,0,0
17301780,25,0,0
5400900,15,2,0
11500020,559,5,3
37200180,24,0,0
4502460,104,5,1
37500660,7,0,0
37500240,28,0,0
100005900,17,0,0
51200040,65,0,0
28716840,99,5,2
57000000,840,35,8
12717060,82,6,0
9002100,2,0,0
28706160,74,0,0
12708120,88,5,2
28400520,1,0,0
40500420,86,2,2
50300040,7,0,0
100001100,6,0,0
21403860,1,0,0
26008500,7,0,0
6100260,423,35,8
26024760,10,1,0
13903020,1,0,0
39700020,93,2,0
24300300,11,2,0
14100180,3,0,0
28300380,73,0,0
9300000,6819,310,83
26014140,81,8,0
3900840,1174,54,14
100002540,65,4,2
35109000,8,0,0
26017260,10,1,0
100013280,117,0,0
24100740,9,1,1
12901380,2,0,0
18000900,2,0,0
56300040,18,0,0
31600680,35,3,1
21410400,142,0,2
45601260,19,0,0
8901180,127,1,1
28401300,52,0,0
39800100,14,0,0
25300080,49,1,0
26204640,181,0,0
32403600,123,1,0
15800040,147,0,0
4400400,6,0,0
24600300,22,3,0
15600000,447,1,0
22900320,4,0,0
100006440,5,0,0
23000220,53,2,1
8400180,13,0,0
27400020,925,22,6
13800180,58,0,0
25900020,289,2,0
28704540,22,0,0
18100200,76,1,0
4501740,9,0,0
45000060,48,0,0
26002500,1,0,0
8902620,1,0,0
35200620,9,0,0
12717960,11,0,0
58100040,28,0,0
26010960,4,0,0
1005000,863,12,3
23900160,48,0,0
7203960,10,0,0
17400060,14,0,0
