Mid-range brand,valberg,20.49,1
High-end brand,shiraz,3632.0,8
Budget brand,kabrita,1747.7699999999982,64
Affordable brand,babymoov,432.45000000000005,3
Budget brand,avene,765.5299999999997,40
Affordable brand,teorema,227.49,3
Budget brand,calve,146.72999999999996,10
Budget brand,holder,837.7499999999997,37
Budget brand,cocochoco,46.59,2
Budget brand,konami,432.2399999999999,8
Mid-range brand,tacx,6120.869999999996,21
Affordable brand,dls,814.7,4
Budget brand,capcom,458.19,9
Mid-range brand,sospiro,310.43,1
Budget brand,motul,760.62,19
Budget brand,flashpoint,50.96,2
Affordable brand,inspector,3271.0099999999993,19
Budget brand,triumph,4.37,1
Affordable brand,artel,1642215.0399999877,9267
Budget brand,provence,4.86,1
Mid-range brand,housefit,52155.07999999999,156
Budget brand,mefro,82.37,1
Mid-range brand,danke,18135.940000000006,55
Budget brand,swissline,150.18999999999997,6
Budget brand,kenzo,5321.460000000001,79
Budget brand,asics,3412.5800000000004,42
Affordable brand,keter,4272.299999999999,32
Affordable brand,wingo,1946.0399999999997,10
Mid-range brand,bissell,4022.4999999999995,11
Budget brand,tmnt,46.3,1
Affordable brand,nortec,460.12,5
High-end brand,powertec,4890.63,4
Budget brand,plantronics,10133.989999999993,206
Affordable brand,tyrex,22219.890000000018,88
Affordable brand,vasden,51.48,1
High-end brand,oneplus,354055.88999999926,545
Budget brand,payot,747.63,14
High-end brand,juki,5452.37,15
Affordable brand,cayin,297.76,2
High-end brand,omabelle,201897.1300000001,109
Budget brand,vipe,63.03,2
Budget brand,lorelli-bertoni,3980.349999999999,54
Affordable brand,element,81384.61999999973,649
Affordable brand,kale,266.55,3
Budget brand,zlatek,856.7900000000002,17
Budget brand,carhome,492.71000000000015,29
Budget brand,swat,10212.219999999992,162
Affordable brand,claudebernard,162.17,1
Budget brand,dormeo,110.63,2
Budget brand,lbl,39.9,1
Budget brand,neoclassic,43.71,5
Budget brand,pnb,248.9800000000001,44
Budget brand,steppuzzle,1180.7399999999993,33
Affordable brand,hollicy,2135.46,11
Budget brand,calligrata,65.85,1
Budget brand,joko,22.939999999999998,2
Budget brand,sakura,265.53000000000003,14
Budget brand,teknum,5175.9199999999955,68
Budget brand,cougar,5538.7300000000005,70
Budget brand,rubineta,706.4200000000001,11
Mid-range brand,t-max,2885.05,14
Budget brand,imetec,30.81,1
Budget brand,similac,243.27,22
Mid-range brand,egreat,375.39,1
Budget brand,kiddieart,583.0999999999999,23
Affordable brand,bugatti,434.51,3
Mid-range brand,armos,2815.7799999999997,9
High-end brand,gretsch,1434.27,3
Budget brand,wahl,599.37,13
Budget brand,musclepharm,439.78,5
Mid-range brand,vossen,3474.9900000000002,9
Budget brand,navitel,10671.66999999999,109
Budget brand,revuele,4.12,1
Affordable brand,nadoba,568.43,7
Mid-range brand,falmec,826.38,2
Budget brand,salvatoreferragamo,487.01,7
Affordable brand,vaude,257.15,1
Budget brand,vulli,104.89999999999998,7
Mid-range brand,triton,15194.680000000004,56
High-end brand,ninebot,6049.080000000001,11
Budget brand,normann,180.18,7
Budget brand,kovroff,47.91,7
High-end brand,konig,669.26,1
Budget brand,schreuders,159.59,3
Affordable brand,burgerschuhe,10851.160000000007,107
Budget brand,kronospan,793.5099999999998,52
Budget brand,scarlett,58821.61999999967,1690
Affordable brand,ams,13171.51000000001,59
Mid-range brand,recaro,990.96,3
Budget brand,miolla,92.12,1
Budget brand,desigual,44.14,3
Budget brand,mhp,76.96,2
High-end brand,edox,4404.219999999999,6
Budget brand,vlk,33.92,2
Affordable brand,ikea,9231.650000000016,214
Affordable brand,aoc,20720.150000000005,77
Budget brand,garanterm,3195.9800000000005,34
Budget brand,antika,695.8399999999999,8
Budget brand,tonar,891.9499999999999,20
Affordable brand,thermaltake,13836.639999999996,100
Affordable brand,boss,298.59,1
Affordable brand,stinol,296.51,1
Affordable brand,tch,1274.9800000000002,14
Budget brand,yokito,65.12,5
Affordable brand,braun,239280.3099999967,2491
Budget brand,rapid,385.50000000000006,25
Affordable brand,shimano,2675.8300000000004,24
Affordable brand,jaguar,44119.489999999976,301
Budget brand,havit,529.01,13
Budget brand,deviser,1029.6100000000001,14
High-end brand,kawai,9921.880000000001,9
High-end brand,korg,5642.86,8
Affordable brand,paiste,141.57,1
High-end brand,vard,669.26,1
Budget brand,audac,100.39,1
High-end brand,k-power,2208.56,2
Budget brand,nicecooker,5830.179999999999,60
Budget brand,mitre,90.1,2
Budget brand,naturasiberica,7.029999999999999,3
Budget brand,humana,62.89,8
Affordable brand,aqualife,98.29,1
Budget brand,nitecore,333.69000000000005,7
Affordable brand,rucelf,1803.3600000000001,10
High-end brand,meade,1879.78,14
Affordable brand,lucente,3527545.570000111,14559
Budget brand,maxvi,1584.5100000000002,109
