alarm,Budget brand,cenmax,684583.3700000094,9695
headphone,Affordable brand,honor,88525.25999999986,649
player,Budget brand,mystery,28561.699999999695,634
tv,Affordable brand,kivi,2.3177473780011848E7,84220
kids,Budget brand,lori,5850.939999999988,281
carriage,Affordable brand,skillmax,268549.9800000022,995
"",Budget brand,suda,25.259999999999998,3
music_tools,Budget brand,akai,342400.6699999979,3615
microphone,Budget brand,hyperx,4627.819999999987,202
kids,Budget brand,mefferts,117.64000000000001,17
apparel,Budget brand,catimini,4167.22,67
electronics,Affordable brand,hifiman,4447.990000000001,25
pillow,Affordable brand,vegas,227393.3599999991,4438
components,Budget brand,cobra,1792.5200000000004,10
"",Budget brand,ivc,34.67,5
construction,Budget brand,clatronic,39692.909999999894,318
kitchen,Budget brand,olto,17121.280000000053,512
audio,Budget brand,homage,17699.43999999996,188
smartphone,Affordable brand,nubia,439134.99999999575,3011
"",Mid-range brand,higashi,209657.01999999917,508
"",Affordable brand,ibaby,190240.64999999924,1388
"",Budget brand,bertoni,244676.53000000844,4857
"",Budget brand,bogates,5043.1600000000035,68
"",Affordable brand,davita,5251.339999999996,66
toys,Affordable brand,xiaomi,5330.710000000036,507
"",Budget brand,gaissina,460000.63999996986,7942
appliances,Affordable brand,electronicsdeluxe,211249.5599999976,1066
"",Budget brand,kerastase,72976.21999999961,1152
kids,Budget brand,playskool,1036.9500000000005,31
kids,Affordable brand,babykiss,350700.8299999896,1658
appliances,Budget brand,kiepe,14940.640000000038,262
"",Budget brand,faro,1060.0,53
"",Budget brand,cocochoco,5452.229999999992,278
kids,Affordable brand,joe,1593.84,8
computers,High-end brand,pulser,9.948856672000453E7,135853
"",Affordable brand,signal,9831.599999999999,95
audio,Affordable brand,adagio,76252.34999999982,704
furniture,Budget brand,monro,1074.87,48
"",Budget brand,nitto,820472.029999995,10265
"",Affordable brand,bosher,643069.0900000017,1527
electronics,Budget brand,redragon,97557.14000000402,4715
"",High-end brand,scott,23390.38000000007,303
"",Budget brand,aten,13606.62000000004,146
"",Mid-range brand,olympus,470553.3000000006,651
apparel,Affordable brand,joie,20462.74999999998,218
appliances,Budget brand,now,13215.519999999851,604
bed,Mid-range brand,sv,1.72755240299933E7,85704
"",Mid-range brand,asmrelaks,15764.769999999984,49
"",Budget brand,castorland,281.64000000000004,63
apparel,Budget brand,conceptclub,3451218.4900001544,99686
bed,Mid-range brand,mebelev,337651.5000000037,705
construction,Affordable brand,elitech,25346.45999999995,200
"",Budget brand,cempioneria,656.4,30
apparel,Budget brand,strobbs,3751543.129999949,65518
components,Affordable brand,almacom,1086155.8300001174,15947
environment,High-end brand,husqvarna,44360.45999999994,139
"",Budget brand,expromt,19.14,3
"",Budget brand,karaja,35730.629999999845,1796
"",Budget brand,clarion,8872.769999999999,24
construction,Affordable brand,blanco,98455.08000000003,367
kids,Budget brand,sabi,208.50000000000006,15
sport,Mid-range brand,dynastar,130068.70999999989,294
appliances,Budget brand,vihr,52170.35000000042,658
construction,Budget brand,pit,2798.7499999999986,40
skates,Affordable brand,forward,2103.130000000001,43
sewing_machine,High-end brand,jack,666589.6500000103,1465
massager,Budget brand,haday,53162.550000001866,2081
toys,Affordable brand,keter,7481.149999999975,178
"",Budget brand,milavitsa,264098.45000001317,3297
"",Budget brand,weider,836.5500000000002,65
environment,Mid-range brand,haier,1608393.0199999518,16479
toster,Affordable brand,kitfort,8326.730000000001,244
hob,Affordable brand,mbs,32206.369999999984,248
acoustic,Budget brand,caravanmusic,88288.1999999979,980
kids,Budget brand,globber,113676.42999999927,1218
appliances,Affordable brand,x-foot,36833.46000000023,349
electronics,Budget brand,tesler,4290.460000000001,56
headphone,Budget brand,monster,10795.990000000002,163
kids,Mid-range brand,hp,555337.2000000777,8867
grill,Affordable brand,demiray,220224.30999999781,2077
juicer,Budget brand,zelmer,83331.58000000064,1407
bedroom,Budget brand,avrorateksdizajn,393.4,16
oven,Affordable brand,bosch,1.7180587370000686E7,40247
bag,Budget brand,vipe,16419.920000000096,517
"",Affordable brand,subea,4864.86,27
faucet,Budget brand,yota,617.7600000000001,24
"",Budget brand,harpercollins,300.2799999999999,39
bag,Budget brand,puma,19478.34999999986,443
chair,Affordable brand,barty,20731.339999999847,470
"",Budget brand,outwell,125318.6900000005,2199
kitchen,High-end brand,whirlpool,6959196.699999707,13549
"",Budget brand,homeart,4.76,3
appliances,Affordable brand,hansa,3.0689061649989665E7,127403
"",Mid-range brand,blackberry,4639.439999999985,378
"",Budget brand,pisen,3655.219999999987,218
compressor,Budget brand,tpmaster,30905.5900000002,1501
chair,Budget brand,karapuz,6013.670000000024,167
air_heater,Budget brand,zass,216.12,4
"",Budget brand,tekstilnaalavka,2194.2699999999986,51
"",Budget brand,larocheposay,880.8599999999976,106
coffee_machine,Budget brand,scarlett,713022.2000000855,9886
kitchen,Budget brand,homs,257.32,4
kids,Budget brand,woddon,9363.729999999985,373
tools,Budget brand,eurolux,2127308.9300000593,21893
kids,Affordable brand,maribel,290529.7799999986,3250
clocks,Budget brand,acme,303973.6300000089,2845
toys,Budget brand,kakadu,539.0,44
"",Budget brand,bielita,16.58,6
"",Budget brand,altinbasak,19445.979999999938,503
"",Budget brand,flexter,51246.12999999996,531
auto,Affordable brand,zubr,130175.77999999955,1523
acoustic,Affordable brand,martinez,3409.59,23
monitor,High-end brand,asus,6126503.230000196,7017
living_room,Mid-range brand,komfort-s,5164275.829998848,14728
"",Budget brand,arcodoro,104105.20000000179,3358
auto,Mid-range brand,pandora,1.3999678049999813E7,42299
"",Budget brand,brita,2227.480000000002,116
"",Budget brand,bardahl,243313.06000002535,8798
"",Budget brand,bykilian,43194.61000000004,1089
coffee_machine,Budget brand,polaris,1258877.5199999965,13534
"",Budget brand,deviser,78851.93000000139,1363
"",Mid-range brand,taitong,18922.889999999996,57
"",Budget brand,puckator,44483.16999999915,1703
living_room,High-end brand,pinskdrev,1.349490294000083E7,11643
smartphone,Budget brand,tp-link,3144405.5900003854,29430
"",Budget brand,crystal,262.59999999999997,10
saw,Mid-range brand,fubag,9308.16,128
electronics,High-end brand,bulova,13549.799999999997,20
universal,Affordable brand,ikea,33836.570000000116,364
accessories,Affordable brand,tomahawk,1442095.0200004103,14165
"",Budget brand,roadmarch,106837.85999999815,2355
electronics,Affordable brand,motorola,122617.52999999937,442
appliances,Affordable brand,touchbeauty,254.8599999999999,17
"",Budget brand,kipsta,9327.170000000015,257
appliances,Mid-range brand,svar,33287.22999999999,100
blender,Budget brand,polaris,1396975.8900001654,34550
appliances,High-end brand,elna,1993938.220000005,2875
"",Budget brand,bsn,265628.08000000904,4996
"",Budget brand,prosperplast,13724.740000000049,537
"",Affordable brand,roadcruza,94461.79999999955,850
components,Affordable brand,sapphire,1460338.6999999974,5602
"",Affordable brand,grillver,558196.999999998,3278
tennis,Budget brand,joerex,1639.8400000000045,277
"",Budget brand,eskar,11077.14000000012,665
ironing_board,Budget brand,haushalt,28380.869999999828,375
accessories,Affordable brand,korin,13819.93000000002,128
wallet,Budget brand,karya,1170268.8800000444,29938
appliances,Affordable brand,cmi,467.04,2
"",Budget brand,novline,399735.43000001827,14390
videoregister,Budget brand,fujida,175306.39999999743,1212
sport,High-end brand,trek,1662830.839999979,3124
clocks,High-end brand,louiserard,2766268.130000012,1432
"",Budget brand,solarstorm,1054.5300000000002,26
computers,Budget brand,aerocool,2460928.5600000415,26569
appliances,High-end brand,bork,2559248.6400000732,6024
auto,Budget brand,parkmaster,689618.0700000406,10276
"",Budget brand,mediheal,7787.38999999998,500
cartrige,Budget brand,katun,2272.81,66
"",Budget brand,seagate,457097.69999999076,4551
videoregister,Budget brand,harper,36332.29999999948,1039
"",High-end brand,ocag,102237.42999999993,168
ski,Mid-range brand,head,403116.7700000002,510
"",High-end brand,liebherr,123405.30999999997,342
bedroom,Budget brand,sonoterra,515.24,21
"",Affordable brand,adil,2481367.1400004737,22566
mixer,Budget brand,clatronic,12733.519999999942,323
bathroom,Budget brand,sanita,273729.58000000136,3098
"",Affordable brand,karcher,1.1596822289998192E7,38140
dishwasher,High-end brand,whirlpool,1285013.5000000005,2587
photo,Mid-range brand,olympus,35018.52,36
shoes,Budget brand,escan,670591.949999999,16679
"",Budget brand,cantra,3904907.5399996657,48095
"",Budget brand,oscardelarenta,370.95000000000005,5
sewing_machine,Affordable brand,janome,4.43765178299946E7,174194
"",Budget brand,tatami,9410.729999999985,191
blender,Budget brand,elenberg,319654.25000001054,9972
apparel,High-end brand,sergiorossi,67214.22,66
kitchen,Budget brand,zeta,173209.82000001066,13379
swing,Budget brand,la-di-da,32511.03000000006,760
country_yard,Budget brand,koopman,50.19,1
apparel,Budget brand,suave,113390.43999999987,1171
bed,Affordable brand,gerbor,14054.040000000014,78
headphone,High-end brand,lenovo,54295.519999999895,593
appliances,Budget brand,delimano,22209.390000000134,339
"",High-end brand,greenbike,15575.490000000002,14
ski,Mid-range brand,volkl,189767.73000000004,583
"",Budget brand,hotwheels,30311.080000000024,748
oven,Budget brand,saturn,71051.35000000097,1313
"",Budget brand,zoops,882.1199999999992,46
"",Budget brand,kosmos,84.50000000000001,10
"",Budget brand,lada,413.1800000000006,73
skates,Budget brand,coolmaster,480.38,8
tools,Budget brand,patriot,204480.27999999933,2045
accessories,Budget brand,palisad,774.8599999999996,43
"",Budget brand,gemei,66027.61000000068,2783
"",Budget brand,navitel,717303.9000000124,6354
